DATE,ML.BBY - VALUE,ML.CCCTRI - VALUE,ML.BBBEY - VALUE,ML.IGEM - VALUE,ML.BBTRI - VALUE,ML.AAATRI - VALUE,ML.BBBTRI - VALUE,ML.TRI - VALUE,ML.AEY - VALUE,ML.EMCBI - VALUE,ML.CCCY - VALUE,ML.ATRI - VALUE,ML.AAY - VALUE,ML.EMHG - VALUE,ML.HYOAS - VALUE,ML.AATRI - VALUE,ML.EMCTRI - VALUE,ML.USTRI - VALUE,ML.BOAS - VALUE,ML.USEY - VALUE,ML.AAOAS - VALUE,ML.AAAEY - VALUE,ML.BTRI - VALUE,ML.EEMCBI - VALUE,ML.BEY - VALUE,ML.EMHGY - VALUE
1972-12-31,,,,,,,,100.0,,,,,,,,,,,,,,,,,,
1973-01-31,,,,,,,,100.0,,,,,,,,,,,,,,,,,,
1973-02-28,,,,,,,,100.0,,,,,,,,,,,,,,,,,,
1973-03-31,,,,,,,,100.46,,,,,,,,,,,,,,,,,,
1973-04-30,,,,,,,,100.46,,,,,,,,,,,,,,,,,,
1973-05-31,,,,,,,,100.46,,,,,,,,,,,,,,,,,,
1973-06-30,,,,,,,,100.51,,,,,,,,,,,,,,,,,,
1973-07-31,,,,,,,,100.51,,,,,,,,,,,,,,,,,,
1973-08-31,,,,,,,,100.51,,,,,,,,,,,,,,,,,,
1973-09-30,,,,,,,,102.22,,,,,,,,,,,,,,,,,,
1973-10-31,,,,,,,,102.22,,,,,,,,,,,,,,,,,,
1973-11-30,,,,,,,,102.22,,,,,,,,,,,,,,,,,,
1973-12-31,,,,,,,,102.0,,,,,,,,,,,,,,,,,,
1974-01-31,,,,,,,,102.0,,,,,,,,,,,,,,,,,,
1974-02-28,,,,,,,,102.0,,,,,,,,,,,,,,,,,,
1974-03-31,,,,,,,,99.65,,,,,,,,,,,,,,,,,,
1974-04-30,,,,,,,,99.65,,,,,,,,,,,,,,,,,,
1974-05-31,,,,,,,,99.65,,,,,,,,,,,,,,,,,,
1974-06-30,,,,,,,,94.48,,,,,,,,,,,,,,,,,,
1974-07-31,,,,,,,,94.48,,,,,,,,,,,,,,,,,,
1974-08-31,,,,,,,,94.48,,,,,,,,,,,,,,,,,,
1974-09-30,,,,,,,,91.79,,,,,,,,,,,,,,,,,,
1974-10-31,,,,,,,,91.79,,,,,,,,,,,,,,,,,,
1974-11-30,,,,,,,,91.79,,,,,,,,,,,,,,,,,,
1974-12-31,,,,,,,,97.16,,,,,,,,,,,,,,,,,,
1975-01-31,,,,,,,,97.16,,,,,,,,,,,,,,,,,,
1975-02-28,,,,,,,,97.16,,,,,,,,,,,,,,,,,,
1975-03-31,,,,,,,,102.37,,,,,,,,,,,,,,,,,,
1975-04-30,,,,,,,,102.37,,,,,,,,,,,,,,,,,,
1975-05-31,,,,,,,,102.37,,,,,,,,,,,,,,,,,,
1975-06-30,,,,,,,,105.81,,,,,,,,,,,,,,,,,,
1975-07-31,,,,,,,,105.81,,,,,,,,,,,,,,,,,,
1975-08-31,,,,,,,,105.81,,,,,,,,,,,,,,,,,,
1975-09-30,,,,,,,,104.08,,,,,,,,,,,,,,,,,,
1975-10-31,,,,,,,,104.08,,,,,,,,,,,,,,,,,,
1975-11-30,,,,,,,,104.08,,,,,,,,,,,,,,,,,,
1975-12-31,,,,,,,,112.42,,,,,,,,,,,,,,,,,,
1976-01-31,,,,,,,,115.09,,,,,,,,,,,,,,,,,,
1976-02-29,,,,,,,,116.35,,,,,,,,,,,,,,,,,,
1976-03-31,,,,,,,,118.67,,,,,,,,,,,,,,,,,,
1976-04-30,,,,,,,,118.61,,,,,,,,,,,,,,,,,,
1976-05-31,,,,,,,,117.82,,,,,,,,,,,,,,,,,,
1976-06-30,,,,,,,,119.65,,,,,,,,,,,,,,,,,,
1976-07-31,,,,,,,,121.2,,,,,,,,,,,,,,,,,,
1976-08-31,,,,,,,,123.74,,,,,,,,,,,,,,,,,,
1976-09-30,,,,,,,,125.82,,,,,,,,,,,,,,,,,,
1976-10-31,,,,,,,,127.08,,,,,,,,,,,,,,,,,,
1976-11-30,,,,,,,,130.38,,,,,,,,,,,,,,,,,,
1976-12-31,,,,,,,,133.56,,,,,,,,,,,,,,,,,,
1977-01-31,,,,,,,,131.01,,,,,,,,,,,,,,,,,,
1977-02-28,,,,,,,,131.09,,,,,,,,,,,,,,,,,,
1977-03-31,,,,,,,,132.25,,,,,,,,,,,,,,,,,,
1977-04-30,,,,,,,,133.77,,,,,,,,,,,,,,,,,,
1977-05-31,,,,,,,,135.01,,,,,,,,,,,,,,,,,,
1977-06-30,,,,,,,,136.96,,,,,,,,,,,,,,,,,,
1977-07-31,,,,,,,,137.42,,,,,,,,,,,,,,,,,,
1977-08-31,,,,,,,,139.21,,,,,,,,,,,,,,,,,,
1977-09-30,,,,,,,,139.07,,,,,,,,,,,,,,,,,,
1977-10-31,,,,,,,,138.52,,,,,,,,,,,,,,,,,,
1977-11-30,,,,,,,,139.55,,,,,,,,,,,,,,,,,,
1977-12-31,,,,,,,,138.64,,,,,,,,,,,,,,,,,,
1978-01-31,,,,,,,,138.05,,,,,,,,,,,,,,,,,,
1978-02-28,,,,,,,,138.39,,,,,,,,,,,,,,,,,,
1978-03-31,,,,,,,,139.11,,,,,,,,,,,,,,,,,,
1978-04-30,,,,,,,,139.09,,,,,,,,,,,,,,,,,,
1978-05-31,,,,,,,,138.07,,,,,,,,,,,,,,,,,,
1978-06-30,,,,,,,,138.4,,,,,,,,,,,,,,,,,,
1978-07-31,,,,,,,,139.99,,,,,,,,,,,,,,,,,,
1978-08-31,,,,,,,,142.71,,,,,,,,,,,,,,,,,,
1978-09-30,,,,,,,,142.42,,,,,,,,,,,,,,,,,,
1978-10-31,,,,,,,,139.83,,,,,,,,,,,,,,,,,,
1978-11-30,,,,,,,,141.41,,,,,,,,,,,,,,,,,,
1978-12-31,,,,,,,,139.11,,,,,,,,,,,,,,,,,,
1979-01-31,,,,,,,,142.17,,,,,,,,,,,,,,,,,,
1979-02-28,,,,,,,,140.97,,,,,,,,,,,,,,,,,,
1979-03-31,,,,,,,,142.24,,,,,,,,,,,,,,,,,,
