Date,ML,Emerging Markets Corporate Bond Index OAS,Emerging Markets Corporate Bond Total Return Index,Emerging Markets High Grade Corporate Bond Index Yield,Euro Emerging Markets Corporate Bond Index (Yield),Europe/Middle East/Africa (EMEA) Corporate Bond Total Return Index,Future Percent change in Emerging Markets Corporate Bond Total Return Index,Future Percent change in Europe/Middle East/Africa (EMEA) Corporate Bond Total Return Index,Future Percent change in IG Emerging Markets Corporate Bond Total Return Index,Future Percent change in US AA Rated Total Return Index,Future Percent change in US AAA Corporate Bond Total Return Index,Future Percent change in US B Corporate Bond Total Return Index,Future Percent change in US BB Bond Total Return Index,Future Percent change in US CCC Bond Total Return Index,Future Percent change in US Corporate BBB Total Return Index,Future Percent change in US Corporate Bond A Total Return Index,Future Percent change in US Corporate Bonds Total Return Index,IG Emerging Markets Corporate Bond Total Return Index,Percent change in Emerging Markets Corporate Bond Total Return Index,Percent change in Europe/Middle East/Africa (EMEA) Corporate Bond Total Return Index,Percent change in IG Emerging Markets Corporate Bond Total Return Index,Percent change in US AA Rated Total Return Index,Percent change in US AAA Corporate Bond Total Return Index,Percent change in US B Corporate Bond Total Return Index,Percent change in US BB Bond Total Return Index,Percent change in US CCC Bond Total Return Index,Percent change in US Corporate BBB Total Return Index,Percent change in US Corporate Bond A Total Return Index,Percent change in US Corporate Bonds Total Return Index,US AA Bond Index Yield,US AA Rated Total Return Index,US AA-rated Bond Index OAS,US AAA Corporate Bond Total Return Index,US AAA rated Bond Index (yield),US B Corporate Bond Total Return Index,US B rated Corporate Bond Index (yield),US B-rated Bond Index OAS,US BB Bond Total Return Index,US BBB Bond Index (yield),US CCC Bond Total Return Index,US CCC-rated Bond Index Yield,US Corporate BBB Total Return Index,US Corporate Bond A Total Return Index,US Corporate Bond A rated Index (yield),US Corporate Bond Index Yield,US Corporate Bonds Total Return Index,US High Yield BB Corporate Bond Index Yield,US High Yield Corporate Bond Index (Yield),US High Yield Corporate Bond Index OAS
1989-01-01,ML,,,,,,,,,,,,,,,,9.757597785668347,,,,,,,,,,,,1.8422551252847457,,,,,,,,,,,,,,,,,357.67,,,
1987-01-01,ML,,,,,,,,,,,,,,,,16.299092655142715,,,,,,,,,,,,25.354919053549196,,,,,,,,,,,,,,,,,301.98,,,
1981-01-01,ML,,,,,,,,,,,,,,,,0.5366068803293284,,,,,,,,,,,,-2.2068866364747475,,,,,,,,,,,,,,,,,136.04,,,
2014-01-01,ML,3.2,325.08,3.14,3.43,460.91,-0.9228497600590625,0.954633225575487,-1.1899264732000023,-1.914279681891758,-4.269770174021586,7.466458542386752,5.194180593964162,12.961910176236504,-0.952479552748723,-1.8168555336907164,-1.4557716487858985,281.53,15.653906361178313,17.2411161702236,10.42557364189056,7.440453686200381,3.9737374508531382,15.016670941266991,14.358392630023022,20.264367379496345,11.975423139346153,9.819848352180644,10.36788393520918,2.03,568.36,0.89,544.76,2.0,269.07,6.11,5.15,332.68,3.33,316.62,10.48,676.13,589.48,2.41,2.77,2449.56,4.81,6.31,5.34
2011-01-01,ML,4.11,240.15,5.34,6.8,337.79,12.429731417863831,13.650492909796014,8.38929219600725,7.673010380622841,7.895742051454889,13.98633489700184,14.928939756005526,18.42455424465537,10.87837032919033,9.106784248668465,9.519893899204234,220.4,39.112552858715176,53.171904049335694,21.72088142707241,9.144125005900946,-0.6540470556721297,47.63625414031918,45.21490320224036,96.7879898751855,31.424992824152596,15.923985930818088,19.76009860354007,3.91,462.4,1.19,445.05,3.73,196.12,8.59,5.97,238.53,5.58,225.46,12.53,503.66,458.12,4.69,4.89,1885.0,7.57,9.08,6.39
2007-01-01,ML,1.66,192.13,5.37,4.37,277.79,6.136470098370891,5.817344036862366,4.345158411423467,4.281771518481267,4.463888088439464,11.42572655423487,9.901099508260119,18.632982816106693,4.558585039529701,4.272244389661205,4.376305358516923,179.28,5.932623917957761,8.541398038526165,3.7319909737892654,2.341481442373688,2.6652681404980973,3.7378954163976705,3.110579388138784,-0.5420572667559431,0.9877680536363207,2.6934620905650664,1.9721746010813717,5.07,387.69,0.64,381.73,5.05,160.69,7.8,3.39,180.99,5.66,155.96,11.5,394.64,393.47,5.28,5.36,1546.51,7.41,8.13,3.71
1996-01-01,ML,,,,,,,,,21.95465758252085,20.628870890900437,,,,21.837488457987074,20.94610359309379,21.55068875016682,,,,,-4.159864902898967,-3.132391116238827,,,,-2.586013042500559,-3.27239900699617,-3.342267066057078,,170.26,,167.92,,,,,,,,,173.28,171.44,,,674.41,,,
1979-01-01,ML,,,,,,,,,,,,,,,,0.33900750144260483,,,,,,,,,,,,3.803533992213225,,,,,,,,,,,,,,,,,138.64,,,
2009-01-01,ML,3.39,210.66,5.97,7.17,297.08,-18.052786480584828,-25.767470041739593,-7.551312161748197,-0.2918333725582378,4.707367240089764,-28.019506908696833,-19.19519874065329,-38.30371567043619,-11.054634916214082,-7.594640727663856,-6.817670530565854,195.86,3.3052177324441003,1.0648069399557734,4.698775859304015,5.0978258181008576,7.28991649321664,3.07176766266406,2.1969735056055524,0.3675278348286555,4.418001599495921,4.238568782295029,4.6431956585036485,5.35,424.9,1.68,427.84,4.88,184.55,9.28,5.71,203.28,6.28,185.7,12.63,430.86,427.67,5.74,5.8,1689.14,8.27,9.53,5.92
1991-01-01,ML,,,,,,,,,8.672395650648895,8.05957074025404,,,,5.4239073196419225,7.649890590809623,7.370864770748691,,,,,13.72157957718389,13.740534077321648,,,,13.621858795372951,13.885566188197776,14.114680184425715,,114.04,,114.15,,,,,,,,,113.94,114.25,,,447.98,,,
