Date,Country,Asset Manager Longs,Asset Manager Shorts,Asset Manager Spreads,Dealer Longs,Dealer Shorts,Dealer Spreads,"Largest 4 Longs, Gross","Largest 4 Longs, Net","Largest 4 Shorts, Gross","Largest 4 Shorts, Net","Largest 8 Longs, Gross","Largest 8 Longs, Net","Largest 8 Shorts, Gross","Largest 8 Shorts, Net",Leveraged Funds Longs,Leveraged Funds Shorts,Leveraged Funds Spreads,Non Reportable Longs,Non Reportable Shorts,Open Interest,Other Reportable Longs,Other Reportable Shorts,Other Reportable Spreads,Total Reportable Longs,Total Reportable Shorts
2007-01-01,Australia,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-01,New Zealand,1107.0,0.0,0.0,2171.0,12522.0,81.0,,,,,,,,,12540.0,5067.0,1.0,2993.0,1222.0,18893.0,0.0,0.0,0.0,15900.0,17671.0
2013-01-01,United Kingdom,8644.0,75330.0,3108.0,128122.0,2050.0,2128.0,,,,,,,,,25052.0,72007.0,2671.0,14682.0,26968.0,187839.0,3206.0,3351.0,225.0,173157.0,160871.0
2008-01-01,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-01,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-01,Australia,655.0,6087.0,944.0,81048.0,2307.0,8792.0,,,,,,,,,14619.0,66948.0,7867.0,19392.0,35512.0,142588.0,5634.0,10492.0,3638.0,123196.0,107076.0
2012-01-01,Russia,0.0,0.0,0.0,11485.0,32721.0,14259.0,,,,,,,,,30211.0,10548.0,843.0,677.0,359.0,58730.0,1255.0,0.0,0.0,58053.0,58371.0
2015-01-01,Russia,2104.0,0.0,0.0,16779.0,26309.0,7195.0,,,,,,,,,6838.0,623.0,3183.0,275.0,541.0,40208.0,1650.0,173.0,2184.0,39933.0,39667.0
2009-01-01,Russia,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-01,United States,1225.0,437.0,730.0,11431.0,4403.0,28.0,,,,,,,,,7098.0,17155.0,876.0,4632.0,2259.0,26794.0,772.0,904.0,2.0,22162.0,24535.0
2011-01-01,Canada,7832.0,8584.0,166.0,761.0,69544.0,3577.0,,,,,,,,,48987.0,6816.0,4590.0,41257.0,17551.0,111754.0,4353.0,694.0,232.0,70498.0,94204.0
2011-01-01,Japan,28204.0,9180.0,1575.0,30459.0,35585.0,9482.0,,,,,,,,,14132.0,20123.0,5336.0,18765.0,26092.0,110410.0,2071.0,2652.0,386.0,91645.0,84318.0
2014-01-01,Australia,3694.0,44286.0,1784.0,13848.0,65994.0,3086.0,,,,,,,,,116705.0,35433.0,5273.0,34303.0,20144.0,181742.0,1103.0,3797.0,1945.0,147438.0,161597.0
2007-01-01,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-01,Japan,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-01,United States,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-01,United Kingdom,23259.0,30245.0,2700.0,3579.0,60417.0,3165.0,,,,,,,,,99376.0,28269.0,7388.0,44107.0,21345.0,188209.0,2757.0,32801.0,1879.0,144102.0,166864.0
2013-01-01,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-01,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-01,United States,5939.0,4013.0,464.0,9563.0,3142.0,865.0,,,,,,,,,8197.0,30325.0,1620.0,6522.0,2534.0,44855.0,11602.0,1810.0,82.0,38332.0,42321.0
2012-01-01,Canada,10209.0,7138.0,107.0,1779.0,62715.0,2805.0,,,,,,,,,49778.0,11532.0,3440.0,43652.0,16791.0,120992.0,8720.0,15962.0,500.0,77340.0,104201.0
2015-01-01,Mexico,39483.0,591.0,0.0,27470.0,58299.0,475.0,,,,,,,,,28502.0,46485.0,3224.0,7274.0,2112.0,116803.0,10375.0,5617.0,0.0,109529.0,114691.0
2008-01-01,Australia,2756.0,4401.0,288.0,1322.0,114751.0,452.0,,,,,,,,,91962.0,1011.0,0.0,29671.0,6598.0,129194.0,2743.0,1693.0,0.0,99523.0,122597.0
2014-01-01,Japan,51869.0,8198.0,4090.0,81044.0,8055.0,14335.0,,,,,,,,,20156.0,104197.0,23327.0,22359.0,67090.0,240939.0,17925.0,5814.0,5833.0,218579.0,173848.0
2009-01-01,United States,0.0,2707.0,0.0,19625.0,19579.0,967.0,,,,,,,,,8394.0,4424.0,3194.0,3673.0,3424.0,36362.0,439.0,1999.0,70.0,32689.0,32938.0
2012-01-01,Australia,10172.0,3509.0,207.0,4828.0,90838.0,3337.0,,,,,,,,,72781.0,9705.0,4012.0,35050.0,14845.0,131725.0,852.0,4785.0,486.0,96674.0,116880.0
2012-01-01,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-01,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-01,Canada,16112.0,35265.0,625.0,36047.0,2304.0,4701.0,,,,,,,,,25355.0,51163.0,5115.0,27113.0,23993.0,125240.0,9661.0,1562.0,512.0,98128.0,101247.0
2007-01-01,Canada,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-01,United Kingdom,2727.0,30117.0,614.0,35827.0,0.0,7093.0,,,,,,,,,11537.0,19480.0,6438.0,25974.0,19991.0,92938.0,2526.0,9003.0,202.0,66964.0,72947.0
2015-01-01,New Zealand,1150.0,0.0,0.0,941.0,7914.0,0.0,,,,,,,,,12082.0,8125.0,282.0,3575.0,1805.0,18748.0,718.0,622.0,0.0,15173.0,16943.0
2012-01-01,Japan,31827.0,5612.0,1463.0,6897.0,48907.0,5082.0,,,,,,,,,43066.0,15286.0,6354.0,26612.0,33176.0,122708.0,1386.0,6806.0,21.0,96096.0,89532.0
2012-01-01,New Zealand,713.0,0.0,34.0,3759.0,12524.0,1.0,,,,,,,,,17081.0,7002.0,0.0,2529.0,1201.0,25090.0,973.0,4328.0,0.0,22561.0,23889.0
2015-01-01,Switzerland,900.0,1231.0,0.0,3325.0,21829.0,1122.0,,,,,,,,,25877.0,9957.0,1550.0,20562.0,13987.0,53969.0,632.0,4292.0,0.0,33407.0,39982.0
2011-01-01,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-01,Australia,16935.0,3140.0,195.0,3825.0,71912.0,1976.0,,,,,,,,,45147.0,10913.0,2360.0,25793.0,11599.0,104017.0,7635.0,1770.0,151.0,78224.0,92418.0
2009-01-01,Canada,15527.0,535.0,1105.0,10541.0,50752.0,11237.0,,,,,,,,,21862.0,11691.0,7085.0,29546.0,18585.0,103386.0,5931.0,1846.0,552.0,73840.0,84801.0
2009-01-01,Mexico,14313.0,554.0,0.0,9292.0,73550.0,3042.0,,,,,,,,,50531.0,2539.0,248.0,6932.0,2511.0,85765.0,1407.0,3321.0,0.0,78833.0,83254.0
2015-01-01,United Kingdom,25876.0,26199.0,1680.0,14833.0,94359.0,8809.0,,,,,,,,,117549.0,34396.0,16430.0,43030.0,22855.0,233015.0,2146.0,25625.0,2661.0,189985.0,210160.0
2009-01-01,New Zealand,2351.0,2614.0,57.0,3831.0,15485.0,273.0,,,,,,,,,12601.0,1378.0,0.0,2231.0,560.0,21344.0,0.0,977.0,0.0,19113.0,20784.0
2014-01-01,United States,1611.0,6716.0,318.0,10230.0,1166.0,1421.0,,,,,,,,,18289.0,27616.0,1160.0,3065.0,3851.0,43604.0,7483.0,1329.0,26.0,40539.0,39753.0
2012-01-01,Mexico,18318.0,0.0,145.0,3808.0,98445.0,167.0,,,,,,,,,92335.0,16004.0,90.0,7049.0,1199.0,125232.0,3320.0,9182.0,0.0,118183.0,124033.0
2007-01-01,Russia,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-01,Canada,4668.0,12713.0,10.0,78885.0,12517.0,4442.0,,,,,,,,,18136.0,78598.0,3163.0,27469.0,30985.0,145139.0,8247.0,2592.0,120.0,117670.0,114154.0
2008-01-01,Mexico,2478.0,1325.0,0.0,9092.0,65842.0,20997.0,,,,,,,,,56419.0,3555.0,36.0,3846.0,1793.0,95525.0,2657.0,1977.0,0.0,91679.0,93732.0
2010-01-01,Japan,13101.0,7719.0,367.0,28188.0,44772.0,6126.0,,,,,,,,,39061.0,5084.0,5581.0,24535.0,20149.0,119603.0,2609.0,29771.0,34.0,95067.0,99454.0
2010-01-01,United States,0.0,1526.0,1195.0,2556.0,5265.0,67.0,,,,,,,,,6067.0,1854.0,2725.0,2050.0,3592.0,17261.0,2480.0,916.0,122.0,15211.0,13669.0
2010-01-01,Switzerland,468.0,1210.0,0.0,4011.0,12434.0,3985.0,,,,,,,,,3381.0,6419.0,3196.0,14602.0,6651.0,33894.0,4251.0,0.0,0.0,19292.0,27244.0
