DB,,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML
Indicator,,Percent change in Emerging Markets Corporate Bond Total Return Index,Percent change in Europe/Middle East/Africa (EMEA) Corporate Bond Total Return Index,Percent change in IG Emerging Markets Corporate Bond Total Return Index,Emerging Markets Corporate Bond Index OAS,Emerging Markets Corporate Bond Total Return Index,Emerging Markets High Grade Corporate Bond Index Yield,Euro Emerging Markets Corporate Bond Index (Yield),Europe/Middle East/Africa (EMEA) Corporate Bond Total Return Index,Future Percent change in Emerging Markets Corporate Bond Total Return Index,Future Percent change in Europe/Middle East/Africa (EMEA) Corporate Bond Total Return Index,Future Percent change in IG Emerging Markets Corporate Bond Total Return Index,IG Emerging Markets Corporate Bond Total Return Index,Percent change in US B Corporate Bond Total Return Index,Percent change in US BB Bond Total Return Index,Percent change in US CCC Bond Total Return Index,Future Percent change in US B Corporate Bond Total Return Index,Future Percent change in US BB Bond Total Return Index,Future Percent change in US CCC Bond Total Return Index,US AA Bond Index Yield,US AA-rated Bond Index OAS,US AAA rated Bond Index (yield),US B Corporate Bond Total Return Index,US B rated Corporate Bond Index (yield),US B-rated Bond Index OAS,US BB Bond Total Return Index,US BBB Bond Index (yield),US CCC Bond Total Return Index,US CCC-rated Bond Index Yield,US Corporate Bond A rated Index (yield),US Corporate Bond Index Yield,US High Yield BB Corporate Bond Index Yield,US High Yield Corporate Bond Index (Yield),US High Yield Corporate Bond Index OAS,Percent change in US AA Rated Total Return Index,Percent change in US AAA Corporate Bond Total Return Index,Percent change in US Corporate BBB Total Return Index,Percent change in US Corporate Bond A Total Return Index,Future Percent change in US AA Rated Total Return Index,Future Percent change in US AAA Corporate Bond Total Return Index,Future Percent change in US Corporate BBB Total Return Index,Future Percent change in US Corporate Bond A Total Return Index,US AA Rated Total Return Index,US AAA Corporate Bond Total Return Index,US Corporate BBB Total Return Index,US Corporate Bond A Total Return Index,Percent change in US Corporate Bonds Total Return Index,Future Percent change in US Corporate Bonds Total Return Index,US Corporate Bonds Total Return Index
Date,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973-01-01,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974-01-01,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,100.0
1975-01-01,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,-4.745098039215689,102.0
1976-01-01,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.745098039215689,15.706051873198854,97.16
1977-01-01,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.706051873198854,18.80448318804483,112.42
1978-01-01,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.80448318804483,3.803533992213225,133.56
1979-01-01,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.803533992213225,0.33900750144260483,138.64
1980-01-01,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33900750144260483,-2.2068866364747475,139.11
1981-01-01,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.2068866364747475,0.5366068803293284,136.04
1982-01-01,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5366068803293284,2.2958251078452774,136.77
1983-01-01,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2958251078452774,35.529983560860565,139.91
1984-01-01,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.529983560860565,9.32391097985445,189.62
1985-01-01,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.32391097985445,16.208393632416783,207.3
1986-01-01,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.208393632416783,25.354919053549196,240.9
1987-01-01,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.354919053549196,16.299092655142715,301.98
1988-01-01,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.299092655142715,1.8422551252847457,351.2
1989-01-01,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8422551252847457,9.757597785668347,357.67
1990-01-01,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.72157957718389,13.740534077321648,13.621858795372951,13.885566188197776,100.28,100.36,100.28,100.32,9.757597785668347,14.114680184425715,392.57
1991-01-01,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.72157957718389,13.740534077321648,13.621858795372951,13.885566188197776,8.672395650648895,8.05957074025404,5.4239073196419225,7.649890590809623,114.04,114.15,113.94,114.25,14.114680184425715,7.370864770748691,447.98
1992-01-01,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.672395650648895,8.05957074025404,5.4239073196419225,7.649890590809623,17.953683531025575,16.895014187271997,18.914418914418913,18.107163183998697,123.93,123.35,120.12,122.99,7.370864770748691,18.23908523908524,481.0
