,"Composite Leading Index, Monthly",Country,Date,Mainland
0,94.79574,Estonia,1996-11-30,
1,,France,1959-09-30,
2,,Czech Republic,1972-01-31,
3,,Ireland,1976-01-31,
4,100.1137,Portugal,1988-06-30,
5,,Estonia,1964-05-31,
6,,Slovak Republic,1967-07-31,
7,,Ireland,1961-03-31,
8,,Estonia,1966-08-31,
9,,Norway,1958-09-30,
10,102.9681,Japan,1979-08-31,
11,100.4503,Sweden,1975-02-28,
12,,Austria,1958-04-30,
13,,People's Republic of China.,1974-04-30,
14,99.66543,South Africa,1994-02-28,
15,99.21106,Austria,1971-12-31,
16,101.5128,Japan,2006-05-31,
17,,Indonesia,1976-11-30,
18,101.5118,Belgium,1972-12-31,
19,100.3363,Canada,2003-11-30,
20,101.0456,New Zealand,2002-05-31,
21,,Denmark,1960-10-31,
22,,People's Republic of China.,2002-08-31,99.69751
23,99.80923,Spain,1995-02-28,
24,98.47751,United States,1991-05-31,
25,98.21716,Turkey,2008-07-31,
26,100.8196,Hungary,2005-12-31,
27,,Poland,1983-06-30,
28,101.0199,United Kingdom,1993-10-31,
29,,Chile,1979-06-30,
30,101.3876,United Kingdom,1983-09-30,
31,99.29192,Norway,1993-06-30,
32,99.44571,Brazil,1991-08-31,
33,,Slovenia,1987-09-30,
34,98.66442,Sweden,1971-12-31,
35,,Russia,1961-04-30,
36,98.24432,Germany,1982-05-31,
37,102.6834,South Africa,2007-05-31,
38,99.59692,New Zealand,2000-03-31,
39,99.01263,Japan,1986-10-31,
40,100.8934,United Kingdom,1973-09-30,
41,100.812,India,2007-11-30,
42,101.1886,Austria,2006-08-31,
43,101.2075,Italy,1972-10-31,
44,100.994,Korea,2005-09-30,
45,100.826,Belgium,1966-01-31,
46,,Slovak Republic,1975-04-30,
47,100.0449,Chile,2001-07-31,
48,101.8807,United Kingdom,1971-09-30,
49,100.0135,Canada,2005-03-31,
50,,Turkey,1983-09-30,
51,99.55038,France,1991-05-31,
52,100.4646,Norway,2011-12-31,
53,,Slovenia,1988-08-31,
54,101.463,Spain,2000-06-30,
55,99.38174,Austria,1963-07-31,
56,,Portugal,1974-10-31,
57,97.34325,France,2009-03-31,
58,,India,1982-11-30,
59,101.1089,Austria,2007-11-30,
60,,Slovak Republic,1983-03-31,
61,99.32415,Belgium,2002-11-30,
62,99.90948,Norway,1975-12-31,
63,100.1488,Austria,1971-01-31,
64,,France,1968-08-31,
65,96.67229,Finland,1992-06-30,
66,101.5366,Spain,1988-10-31,
67,101.0273,United States,1976-07-31,
68,,Ireland,1974-04-30,
69,100.8695,Netherlands,1964-12-31,
70,100.1604,Austria,2008-05-31,
71,,Hungary,1972-10-31,
72,,Finland,1980-01-31,
73,,Canada,1955-07-31,
74,,Luxembourg,1977-11-30,
75,99.583,Spain,2011-09-30,
76,100.0889,Israel,2015-04-30,
77,101.035,Sweden,1999-12-31,
78,99.53838,Austria,2002-12-31,
79,101.2379,Spain,1988-07-31,
80,99.09895,Japan,1991-09-30,
81,101.1255,Canada,1958-07-31,
82,,Switzerland,1965-08-31,
83,89.8143,Estonia,2008-11-30,
84,105.9877,Greece,1979-03-31,
85,,South Africa,1955-07-31,
86,99.71352,Belgium,1983-07-31,
87,98.7271,Austria,1987-03-31,
88,101.6766,Italy,2007-01-31,
89,,Sweden,1966-10-31,
90,,United Kingdom,1956-07-31,
91,,Portugal,1958-02-28,
92,98.23412,Portugal,1985-02-28,
93,99.34682,Indonesia,2014-03-31,
94,,Israel,1987-01-31,
95,103.2655,Korea,2000-04-30,
96,,Indonesia,1968-01-31,
97,101.7851,Norway,2006-11-30,
98,95.8165,Mexico,1986-07-31,
99,,Slovak Republic,1978-08-31,
100,102.1404,Switzerland,2000-02-29,
101,,Italy,1956-03-31,
102,,Chile,1977-07-31,
103,,Austria,1956-06-30,
104,99.64938,Germany,1963-11-30,
105,101.2682,Brazil,2001-01-31,
106,,Ireland,1956-02-29,
107,100.1005,United States,2015-06-30,
108,,Chile,1955-11-30,
109,100.8909,Denmark,1995-01-31,
110,,Korea,1979-07-31,
111,100.4117,Austria,1988-11-30,
112,,Indonesia,1989-10-31,
113,101.0711,Japan,1999-12-31,
114,99.61945,Belgium,1982-07-31,
115,,Indonesia,1970-01-31,
116,,Portugal,1966-06-30,
117,101.4222,Ireland,2001-06-30,
118,99.83878,Australia,2015-10-31,
119,,Austria,1959-11-30,
120,100.6371,Austria,2014-02-28,
121,100.3212,Israel,1995-09-30,
122,97.79265,Ireland,1997-03-31,
123,98.22063,Belgium,1993-07-31,
124,99.72953,Norway,1989-04-30,
125,101.4261,Austria,1972-09-30,
126,101.8748,Austria,1979-12-31,
127,,Indonesia,1974-02-28,
128,,New Zealand,1966-02-28,
129,100.8445,Italy,1962-12-31,
130,100.7173,Denmark,2005-03-31,
131,,Czech Republic,1979-03-31,
132,100.4144,Ireland,1979-11-30,
133,100.2293,Australia,2011-06-30,
134,,Brazil,1979-06-30,
135,99.67522,Russia,2004-09-30,
136,,Israel,1969-05-31,
137,,People's Republic of China.,1961-09-30,
138,98.89237,Estonia,2001-05-31,
139,99.07265,France,1985-02-28,
140,100.2203,Italy,2010-02-28,
141,99.78195,France,2012-06-30,
142,101.2615,Australia,1972-10-31,
143,99.2034,United States,2011-09-30,
144,,New Zealand,1955-02-28,
145,99.43136,Greece,2014-02-28,
146,97.71342,Brazil,2016-01-31,
147,99.296,Austria,1978-04-30,
