Code,Name
CURRFX/GBPSRG,Currency Exchange Rates - GBP vs SRG
CURRFX/MZMAUD,Currency Exchange Rates - MZM vs AUD
CURRFX/RWFUSD,Currency Exchange Rates - RWF vs USD
CURRFX/ROLINR,Currency Exchange Rates - ROL vs INR
CURRFX/USDVEB,Currency Exchange Rates - USD vs VEB
CURRFX/ZWDRUB,Currency Exchange Rates - ZWD vs RUB
CURRFX/IDRSDD,Currency Exchange Rates - IDR vs SDD
CURRFX/GBPZWD,Currency Exchange Rates - GBP vs ZWD
CURRFX/RUBGHC,Currency Exchange Rates - RUB vs GHC
CURRFX/EURBWP,Currency Exchange Rates - EUR vs BWP
CURRFX/AUDROL,Currency Exchange Rates - AUD vs ROL
CURRFX/CNYAZM,Currency Exchange Rates - CNY vs AZM
CURRFX/AUDEEK,Currency Exchange Rates - AUD vs EEK
CURRFX/GBPSDD,Currency Exchange Rates - GBP vs SDD
CURRFX/VEBGBP,Currency Exchange Rates - VEB vs GBP
CURRFX/SDDINR,Currency Exchange Rates - SDD vs INR
CURRFX/INREEK,Currency Exchange Rates - INR vs EEK
CURRFX/GBPTMM,Currency Exchange Rates - GBP vs TMM
CURRFX/RUBMGF,Currency Exchange Rates - RUB vs MGF
CURRFX/CNYSDD,Currency Exchange Rates - CNY vs SDD
CURRFX/MGFIDR,Currency Exchange Rates - MGF vs IDR
CURRFX/SDDGBP,Currency Exchange Rates - SDD vs GBP
CURRFX/CNYSRG,Currency Exchange Rates - CNY vs SRG
CURRFX/GBPVEB,Currency Exchange Rates - GBP vs VEB
CURRFX/IDRVEB,Currency Exchange Rates - IDR vs VEB
CURRFX/AZMINR,Currency Exchange Rates - AZM vs INR
CURRFX/RUBSRG,Currency Exchange Rates - RUB vs SRG
CURRFX/GBPSKK,Currency Exchange Rates - GBP vs SKK
CURRFX/RUBAZM,Currency Exchange Rates - RUB vs AZM
CURRFX/SDDCNY,Currency Exchange Rates - SDD vs CNY
CURRFX/MZMCNY,Currency Exchange Rates - MZM vs CNY
CURRFX/AZMRUB,Currency Exchange Rates - AZM vs RUB
CURRFX/EURMGF,Currency Exchange Rates - EUR vs MGF
CURRFX/INRZWD,Currency Exchange Rates - INR vs ZWD
CURRFX/CNYSKK,Currency Exchange Rates - CNY vs SKK
CURRFX/AZMCNY,Currency Exchange Rates - AZM vs CNY
CURRFX/SRGRUB,Currency Exchange Rates - SRG vs RUB
CURRFX/SRGGBP,Currency Exchange Rates - SRG vs GBP
CURRFX/TMMINR,Currency Exchange Rates - TMM vs INR
CURRFX/CNYZWD,Currency Exchange Rates - CNY vs ZWD
CURRFX/ZWDCNY,Currency Exchange Rates - ZWD vs CNY
CURRFX/CNYEEK,Currency Exchange Rates - CNY vs EEK
CURRFX/SRGUSD,Currency Exchange Rates - SRG vs USD
CURRFX/SDDRUB,Currency Exchange Rates - SDD vs RUB
CURRFX/CNYVEB,Currency Exchange Rates - CNY vs VEB
CURRFX/GBPGHC,Currency Exchange Rates - GBP vs GHC
CURRFX/VEBINR,Currency Exchange Rates - VEB vs INR
CURRFX/INRMZM,Currency Exchange Rates - INR vs MZM
