Date,Country,Composite Leading Index
1995-01-01,Slovenia,
1980-01-01,Belgium,100.5824
1972-01-01,Turkey,
2003-01-01,Russia,97.74855
1982-01-01,Mexico,104.3501
1970-01-01,Turkey,
1974-01-01,Estonia,
1994-01-01,Brazil,99.84665
1962-01-01,Germany,
1977-01-01,Czech Republic,
2004-01-01,India,97.94598
2013-01-01,Spain,99.44489
1961-01-01,Mexico,
2015-01-01,United Kingdom,101.382
2001-01-01,Austria,101.3779
1977-01-01,Austria,98.45134
2002-01-01,Germany,100.6624
1981-01-01,Italy,102.2294
1966-01-01,Hungary,
1987-01-01,Russia,
1966-01-01,Canada,101.3434
1965-01-01,United States,100.1725
1957-01-01,Turkey,
1993-01-01,Denmark,100.2307
1975-01-01,Australia,102.3698
1977-01-01,Israel,
1961-01-01,New Zealand,
1956-01-01,South Africa,
1974-01-01,Finland,
1982-01-01,United Kingdom,97.08493
2010-01-01,People's Republic of China.: Mainland,93.96007
1973-01-01,Korea,
1982-01-01,Slovak Republic,
1968-01-01,Portugal,
1987-01-01,Ireland,98.56393
2001-01-01,Slovenia,101.1801
2001-01-01,Ireland,102.663
1969-01-01,Greece,
1986-01-01,Poland,
2012-01-01,France,101.1513
1998-01-01,Korea,97.78144
1958-01-01,Germany,
1965-01-01,Portugal,
1966-01-01,Ireland,
1970-01-01,Norway,
1975-01-01,United Kingdom,98.78702
2012-01-01,Chile,103.3638
1995-01-01,Austria,99.11079
1975-01-01,Austria,101.0891
1994-01-01,United Kingdom,99.03322
1989-01-01,Austria,98.47411
1976-01-01,Portugal,
1994-01-01,Ireland,97.92064
1987-01-01,Finland,97.1263
1971-01-01,Poland,
2000-01-01,Slovak Republic,100.2382
1981-01-01,Brazil,
1976-01-01,Austria,98.37002
1962-01-01,Sweden,
1957-01-01,Norway,
2003-01-01,New Zealand,100.4869
2002-01-01,Indonesia,98.95175
1973-01-01,Canada,101.187
2013-01-01,Ireland,99.18537
1980-01-01,Japan,102.4171
1995-01-01,Germany,99.13407
2015-01-01,Spain,100.445
1961-01-01,Finland,
2000-01-01,Ireland,99.2757
1960-01-01,People's Republic of China.: Mainland,
2007-01-01,Russia,101.1435
1990-01-01,Brazil,
2013-01-01,Austria,100.0486
2007-01-01,Sweden,100.0152
1981-01-01,United States,98.75452
1970-01-01,United Kingdom,100.4089
1958-01-01,New Zealand,
1974-01-01,Belgium,101.5118
1985-01-01,Ireland,101.0637
2006-01-01,Denmark,100.5023
1961-01-01,Hungary,
1985-01-01,Brazil,
1972-01-01,Czech Republic,
1994-01-01,India,
1964-01-01,New Zealand,
1997-01-01,United States,98.63787
1990-01-01,Slovenia,
1986-01-01,Turkey,
2008-01-01,New Zealand,102.1151
2011-01-01,India,101.5409
1978-01-01,Italy,99.42221
1996-01-01,United Kingdom,101.0592
1974-01-01,Hungary,
2008-01-01,Greece,101.2837
2002-01-01,Spain,100.9329
1963-01-01,Brazil,
1998-01-01,Portugal,98.9736
1965-01-01,Korea,
2000-01-01,Austria,99.55317
2009-01-01,Denmark,101.4377
2003-01-01,United Kingdom,99.4994
1968-01-01,Mexico,
2002-01-01,Finland,100.689
1963-01-01,Estonia,
1969-01-01,Korea,
1992-01-01,Switzerland,97.87721
1993-01-01,Israel,
2012-01-01,Australia,100.7484
1989-01-01,People's Republic of China.: Mainland,
1983-01-01,Japan,100.635
1958-01-01,South Africa,
2007-01-01,United States,100.904
1967-01-01,Chile,
1987-01-01,People's Republic of China.: Mainland,
1963-01-01,South Africa,
1956-01-01,Chile,
1980-01-01,Israel,
1991-01-01,South Africa,100.2076
2012-01-01,Brazil,102.4143
1964-01-01,Slovenia,
2004-01-01,Sweden,98.3195
1968-01-01,South Africa,
1994-01-01,Slovenia,
1962-01-01,Indonesia,
1995-01-01,Hungary,100.6248
1980-01-01,South Africa,98.76412
1974-01-01,Denmark,102.4392
1961-01-01,Korea,
1966-01-01,India,
1987-01-01,Switzerland,101.4563
1979-01-01,India,
1999-01-01,New Zealand,97.54832
1976-01-01,Japan,95.59097
1976-01-01,India,
2015-01-01,Ireland,99.97695
1965-01-01,Italy,100.3564
1968-01-01,Slovenia,
1991-01-01,Mexico,100.1291
1972-01-01,Greece,
1991-01-01,Slovak Republic,
1992-01-01,People's Republic of China.: Mainland,96.26032
1997-01-01,Poland,100.7475
1970-01-01,Hungary,
1995-01-01,Australia,101.5937
1963-01-01,Portugal,
1968-01-01,Italy,100.1851
1964-01-01,Ireland,
1992-01-01,Spain,100.9128
2011-01-01,Greece,101.8289
1986-01-01,United States,100.2611
2011-01-01,New Zealand,100.712
2006-01-01,Israel,100.2582
2005-01-01,Estonia,99.6282
2012-01-01,India,101.8223
1958-01-01,Italy,
1961-01-01,Luxembourg,
1958-01-01,Japan,
2007-01-01,People's Republic of China.: Mainland,100.0696
1983-01-01,South Africa,100.8922
1964-01-01,Japan,98.37884
2005-01-01,India,99.51556
2009-01-01,Norway,102.0463
2005-01-01,People's Republic of China.: Mainland,101.2547
1978-01-01,Estonia,
2009-01-01,Russia,104.2765
2013-01-01,France,100.0361
1975-01-01,Finland,
2011-01-01,Finland,102.9071
1983-01-01,Poland,
2014-01-01,United Kingdom,99.84936
1961-01-01,Portugal,
2007-01-01,Chile,100.5355
1975-01-01,Mexico,
1963-01-01,Greece,
1988-01-01,Portugal,101.1475
1978-01-01,Brazil,
1975-01-01,United States,100.6838
1988-01-01,Finland,102.1841
1997-01-01,Germany,99.5734
2008-01-01,United States,101.3697
1964-01-01,United Kingdom,99.38214
1993-01-01,India,
2008-01-01,Austria,101.4922
1959-01-01,Indonesia,
1967-01-01,Norway,
1989-01-01,Luxembourg,99.87691
1993-01-01,Australia,99.48466
1958-01-01,Finland,
1963-01-01,Russia,
1999-01-01,United Kingdom,101.051
1956-01-01,Luxembourg,
1986-01-01,People's Republic of China.: Mainland,
2001-01-01,Spain,101.8117
1979-01-01,Slovak Republic,
1969-01-01,Belgium,99.16798
2009-01-01,Turkey,104.1623
1990-01-01,Italy,101.7368
1998-01-01,Italy,98.78094
1990-01-01,Japan,101.4929
2010-01-01,Luxembourg,95.82616
1974-01-01,Ireland,
1985-01-01,United States,102.487
1964-01-01,Estonia,
1956-01-01,Poland,
1990-01-01,Israel,
2000-01-01,People's Republic of China.: Mainland,99.37165
1961-01-01,India,
1962-01-01,Netherlands,
2014-01-01,Czech Republic,97.77307
1984-01-01,United Kingdom,99.72207
2005-01-01,Luxembourg,100.2728
1990-01-01,Austria,100.5561
2006-01-01,Korea,100.0936
1957-01-01,Brazil,
1976-01-01,New Zealand,
1968-01-01,Turkey,
1992-01-01,Germany,100.877
1957-01-01,Canada,
1983-01-01,Slovenia,
2005-01-01,Brazil,100.8962
2010-01-01,Norway,96.86172
1992-01-01,Russia,
1988-01-01,Switzerland,99.54168
2014-01-01,Mexico,100.6576
1983-01-01,United States,97.24919
1978-01-01,Israel,
2008-01-01,Japan,101.4225
1960-01-01,Poland,
1964-01-01,Mexico,
1956-01-01,Japan,
1966-01-01,Japan,98.38552
1977-01-01,People's Republic of China.: Mainland,
1959-01-01,People's Republic of China.: Mainland,
1995-01-01,Netherlands,99.32451
