Year,YALE.SPCOMP - S&P Composite,YALE.SPCOMP - Dividend,YALE.SPCOMP - Earnings,YALE.SPCOMP - CPI,YALE.SPCOMP - Long Interest Rate,YALE.SPCOMP - Real Price,YALE.SPCOMP - Real Dividend,YALE.SPCOMP - Real Earnings,YALE.SPCOMP - Cyclically Adjusted PE Ratio
1871-01-31,4.44,0.26,0.4,12.46406116,5.32,84.69506017731999,4.9596206410142,7.630185601560401,
1871-02-28,4.5,0.26,0.4,12.84464132,5.3233333333332995,83.296204879935,4.8126696152851,7.4041071004387,
1871-03-31,4.61,0.26,0.4,13.0349719,5.3266666666667,84.08635138676401,4.742397258255701,7.2959957819318,
1871-04-30,4.74,0.26,0.4,12.55922645,5.33,89.73257544854602,4.922040003506701,7.5723692361642,
1871-05-31,4.86,0.26,0.4,12.27381157,5.3333333333333,94.143751385618,5.036496987708,7.7484569041661,
1871-06-30,4.82,0.26,0.4,12.08348099,5.336666666666701,94.839587694009,5.1158283818345,7.8705052028224,
1871-07-31,4.73,0.26,0.4,12.08348099,5.34,93.068724023374,5.1158283818345,7.8705052028224,
1871-08-31,4.79,0.26,0.4,11.8932314,5.3433333333333,95.756954876031,5.1976635214547,7.996405417622699,
1871-09-30,4.84,0.26,0.4,12.17864628,5.3466666666667,94.488950868848,5.075852732624099,7.809004204037,
1871-10-31,4.59,0.26,0.4,12.36889587,5.35,88.230031521803,4.9977795633265,7.688891635887001,
1871-11-30,4.64,0.26,0.4,12.36889587,5.3533333333333,89.191142976289,4.9977795633265,7.688891635887001,
1871-12-31,4.74,0.26,0.4,12.65439174,5.3566666666667,89.057756244237,4.8850246041142,7.515422467868099,
1872-01-31,4.86,0.2633,0.4025,12.65439174,5.36,91.312382984597,4.9470268394742,7.5623938582922,
1872-02-29,4.88,0.2667,0.405,12.65439174,5.3783333333333,91.68815410799,5.010907930450999,7.609365248716401,
1872-03-31,5.04,0.27,0.4075,12.84464132,5.396666666666699,93.291749465527,4.9977722927961,7.5429341085719,
